"Station Id",,"Avg. Test Fees","Station Name",Address,City,ZIP,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
990,,$40,"JIFFY LUBE NO.2043","6390 HIGHLAND DRIVE","SALT LAKE CITY",84121,40.636221,-111.834402,1,range_interpolation,6390,"Highland Dr","Salt Lake City",UT,"Salt Lake County",84121,US,"TIGER/Line® dataset from the US Census Bureau"
993,,$41,"JIFFY LUBE NO.2021","757 W. NORTH TEMPLE","SALT LAKE CITY",84116,40.77139,-111.912503,1,range_interpolation,757,"W North Temple","Salt Lake City",UT,"Salt Lake County",84116,US,"TIGER/Line® dataset from the US Census Bureau"
994,,$38,"JIFFY LUBE NO.2525","1625 W. 12600 So.",RIVERTON,84065,40.522055,-111.936656,1,rooftop,1625,"W 12600 S",Riverton,UT,"Salt Lake County",84065,US,"Utah AGRC (and individual UT counties)"
999,,$37,"JERRY SEINER CADILLAC","1530 S 500 W","SALT LAKE CITY",84115,40.73736,-111.90688,1,rooftop,1530,"S 500 W","Salt Lake City",UT,"Salt Lake County",84115,US,"Utah AGRC (and individual UT counties)"
1001,,$40,"JIFFY LUBE No.2012","1331 EAST FORT UNION BLVD","SALT LAKE CITY",84121,40.626407,-111.853975,1,rooftop,1331,"E Fort Union Blvd","Salt Lake City",UT,"Salt Lake County",84121,US,"Utah AGRC (and individual UT counties)"
1008,,$28,"HAVOLINE EXPRESS LUBE","10207 SOUTH REDWOOD ROAD","SOUTH JORDAN",84095,40.565404,-111.938083,1,rooftop,10207,"S Redwood Rd","South Jordan",UT,"Salt Lake County",84095,US,"Utah AGRC (and individual UT counties)"
1009,,$32,"EMISSIONS PLUS NO.2","4087 WEST 5415 SOUTH ",KEARNS,84118,40.652562,-111.988658,1,rooftop,4087,"W 5415 S","Salt Lake City",UT,"Salt Lake County",84118,US,"Utah AGRC (and individual UT counties)"
1012,,$38,"HILLSIDE TIRE NO.3","12241 S. FACTORY OUTLET DRIVE",DRAPER,84020,40.528281,-111.888861,1,range_interpolation,12241,"Factory Outlet Dr",Draper,UT,"Salt Lake County",84020,US,"TIGER/Line® dataset from the US Census Bureau"
1017,,$35,"AUTO ROW EMISSIONS AND INSPECTIONS","9315 S 700 E",SANDY,84070,40.582928,-111.871525,1,rooftop,9315,"S 700 E",Sandy,UT,"Salt Lake County",84070,US,"Utah AGRC (and individual UT counties)"
1022,,$39,"BURT BROS TIRE and SERVICE","9325 SOUTH 1300 EAST",SANDY,84094,40.582196,-111.852904,1,rooftop,9325,"S 1300 E",Sandy,UT,"Salt Lake County",84094,US,"Utah AGRC (and individual UT counties)"
1028,,$40,"JIFFY LUBE NO.2715","3444 SOUTH 7200 WEST",MAGNA,84044,40.697393,-112.063439,1,rooftop,3444,"S 7200 W",Magna,UT,"Salt Lake County",84044,US,"Utah AGRC (and individual UT counties)"
1030,,$10,"LOW BOOK SALES","3371 SOUTH STATE STREET","SALT LAKE CITY",84115,40.697819,-111.887095,1,rooftop,3371,"S State St","Salt Lake City",UT,"Salt Lake County",84115,US,"Utah AGRC (and individual UT counties)"
1035,,$32,"EMISSIONS PLUS NO.3","10585 SOUTH 700 EAST",SANDY,84070,40.558963,-111.872013,1,range_interpolation,10585,"S 700 E",Sandy,UT,"Salt Lake County",84070,US,"TIGER/Line® dataset from the US Census Bureau"
1039,,$40,"JIFFY LUBE NO.2018","1577 SOUTH FOOTHILL BLVD.","SALT LAKE CITY",84108,40.735992,-111.822309,1,range_interpolation,1577,"State Rte 186","Salt Lake City",UT,"Salt Lake County",84108,US,"TIGER/Line® dataset from the US Census Bureau"
1042,,$35,"EMISSION TIME","2432 SO STATE ST","SALT LAKE CITY",84115,40.714496,-111.893118,0.33,place,,,"Salt Lake City",UT,"Salt Lake County",84115,US,"TIGER/Line® dataset from the US Census Bureau"
1047,,$33,"LARRY H MILLER SUPER FORD","1340 S 500 W","SALT LAKE CITY",84115,40.740318,-111.906288,1,rooftop,1340,"S 500 W","Salt Lake City",UT,"Salt Lake County",84115,US,"Utah AGRC (and individual UT counties)"
1051,,$45,"KENT MUFFLER AND BRAKE","250 W 9210 S ",SANDY,84070,40.584188,-111.898925,1,rooftop,250,"W 9210 S",Sandy,UT,"Salt Lake County",84070,US,"Utah AGRC (and individual UT counties)"
1059,,$44,"HAVOLINE XPRESS LUBE","5534 W. 3500 S.","WEST VALLEY CITY",84120,40.696896,-112.023133,1,rooftop,5534,"W 3500 S","Salt Lake City",UT,"Salt Lake County",84120,US,"Utah AGRC (and individual UT counties)"
1060,,$32,"M AND K AUTOMOTIVE","970 W. 1700 S.","SALT LAKE CITY",84104,40.733843,-111.918661,1,rooftop,970,"W 1700 S","Salt Lake City",UT,"Salt Lake County",84104,US,"Utah AGRC (and individual UT counties)"
1061,,$30,"BIG O TIRES","2830 W 3500 S","WEST VALLEY CITY",84119,40.696912,-111.960473,1,rooftop,2830,"W 3500 S","Salt Lake City",UT,"Salt Lake County",84119,US,"Utah AGRC (and individual UT counties)"
1062,,$35,"CHRISTENSEN TIRE FACTORY","4607 S. 5600 W.","WEST VALLEY  CITY",84120,40.670011,-112.024101,1,rooftop,4607,"S 5600 W","Salt Lake City",UT,"Salt Lake County",84120,US,"Utah AGRC (and individual UT counties)"
1064,,$36,"BIG O TIRES","2284 E. FT UNION BLVD","SALT LAKE CITY",84121,40.776242,-111.877562,0.5,street_center,,"E St","Salt Lake City",UT,"Salt Lake County",84103,US,"TIGER/Line® dataset from the US Census Bureau"
1071,,$33,"KN AUTOMOTIVE REPAIR","3447 S WEST TEMPLE","SALT LAKE CITY",84115,40.69608,-111.893838,1,range_interpolation,3447,"S West Temple","Salt Lake City",UT,"Salt Lake County",84115,US,"TIGER/Line® dataset from the US Census Bureau"
1072,,$30,"MURRAY AUTOMOTIVE","4872 S. 300 W.",MURRAY,84107,40.665694,-111.899161,1,range_interpolation,4872,"S 300 W","Salt Lake City",UT,"Salt Lake County",84107,US,"TIGER/Line® dataset from the US Census Bureau"
1073,,$32,"M&M MOTOR CORPS/WSA","3663 So 300 W","SALT LAKE CITY",84115,40.691786,-111.899521,1,rooftop,3663,"S 300 W","Salt Lake City",UT,"Salt Lake County",84115,US,"Utah AGRC (and individual UT counties)"
1075,,$30,"DIAGNOSTIC AUTOMOTIVE","12650 S. 1830 W.",RIVERTON,84065,40.521271,-111.941885,1,rooftop,12650,"S 1830 W",Riverton,UT,"Salt Lake County",84065,US,"Utah AGRC (and individual UT counties)"
1076,,$29,"EL TIGRE MUFFLER and BRAKE","1733 SOUTH MAIN ST","SALT LAKE CITY",84115,40.732857,-111.890813,1,rooftop,1733,"S Main St","Salt Lake City",UT,"Salt Lake County",84115,US,"Utah AGRC (and individual UT counties)"
1077,,$33,"BRODYS CAR CARE","9245 S. 1300 E.",SANDY,84094,40.583477,-111.85269,1,rooftop,9245,"S 1300 E",Sandy,UT,"Salt Lake County",84094,US,"Utah AGRC (and individual UT counties)"
1079,,$25,"MR MUFFLER","105 W. 2100 S.","SALT LAKE CITY",84115,40.725138,-111.894239,1,rooftop,105,"W 2100 S","Salt Lake City",UT,"Salt Lake County",84115,US,"Utah AGRC (and individual UT counties)"
1081,,$26,"MICHAEL'S EMISSION","3506 W. 3500 S.","WEST VALLEY CITY",84119,40.696876,-111.974789,1,rooftop,3506,"W 3500 S","Salt Lake City",UT,"Salt Lake County",84119,US,"Utah AGRC (and individual UT counties)"
1084,,$25,"V AND H AUTO REPAIR","3820 S 3600 W","WEST VALLEY CITY",84119,40.689052,-111.977415,1,rooftop,3820,"S 3600 W","Salt Lake City",UT,"Salt Lake County",84119,US,"Utah AGRC (and individual UT counties)"
1090,,$32,"MASTER MUFFLER","690 S. MAIN","SALT LAKE CITY",84101,40.754577,-111.891491,1,rooftop,690,"S Main St","Salt Lake City",UT,"Salt Lake County",84101,US,"Utah AGRC (and individual UT counties)"
1094,,$25,"JR AUTO REPAIR & BODY SH ","5419 So 4015 W",TAYLORSVILLE,84118,40.652758,-111.986504,0.8,rooftop,5419,"S 4015 W","Salt Lake City",UT,"Salt Lake County",84129,US,"Utah AGRC (and individual UT counties)"
1096,,$10,"TERAFLEX ","5680 W DANNON WAY","WEST JORDAN",84081,40.583411,-112.026179,1,rooftop,5680,"W Dannon Way","West Jordan",UT,"Salt Lake County",84081,US,"Utah AGRC (and individual UT counties)"
1097,,$25,"STEWISH AUTOMOTIVE INC,","2888 E. 3300 So.","SALT LAKE CITY",84109,40.699549,-111.810342,1,rooftop,2888,"E 3300 S","Salt Lake City",UT,"Salt Lake County",84109,US,"Utah AGRC (and individual UT counties)"
1099,,$33,"QUALITY MUFFLER BRAKE","12258 S. 700 E.",DRAPER,84020,40.527762,-111.872241,1,rooftop,12258,"S 700 E",Draper,UT,"Salt Lake County",84020,US,"Utah AGRC (and individual UT counties)"
1105,,$34,"LABRUM AUTOMOTIVE","3311 W. 12600 S.",RIVERTON,84065,40.522419,-111.969822,1,range_interpolation,3311,"W 12600 S",Riverton,UT,"Salt Lake County",84065,US,"TIGER/Line® dataset from the US Census Bureau"
1106,,$34,"EMISSIONS PLUS","5221 W. 3500 So.","WEST VALLEY CITY",84120,40.696232,-112.015982,1,rooftop,5221,"W 3500 S","Salt Lake City",UT,"Salt Lake County",84120,US,"Utah AGRC (and individual UT counties)"
1107,,$27,"FIRESTONE TIRE & SERVICE","2158 W. 12600 S.",RIVERTON,84065,40.522554,-111.947562,1,rooftop,2158,"W 12600 S",Riverton,UT,"Salt Lake County",84065,US,"Utah AGRC (and individual UT counties)"
1108,,$27,"FIRESTONE TIRE & SERVICE","253 W. 9000 S.",SANDY,84070,40.587679,-111.898934,1,rooftop,253,"W 9000 S",Sandy,UT,"Salt Lake County",84070,US,"Utah AGRC (and individual UT counties)"
1109,,$28,"FIRESTONE TIRE & SERVICE","910 E. 6600 S.",MURRAY,84121,40.631161,-111.865386,1,rooftop,910,"E 6600 S","Salt Lake City",UT,"Salt Lake County",84121,US,"Utah AGRC (and individual UT counties)"
1115,,$27,"FIRESTONE TIRE & SERVICE","9030 SO REDWOOD RD","WEST JORDAN",84088,40.587629,-111.98342,0.33,place,,,"West Jordan",UT,"Salt Lake County",84088,US,"TIGER/Line® dataset from the US Census Bureau"
1116,,$28,"FIRESTONE TIRE & SERVICE","204 E. 300 S.","SALT LAKE CITY",84111,40.762677,-111.88529,1,range_interpolation,204,"E 300 S","Salt Lake City",UT,"Salt Lake County",84111,US,"TIGER/Line® dataset from the US Census Bureau"
1119,,$25,"KEARNS TUNEX","5313 So. 4015 W.",KEARNS,84118,40.654403,-111.986759,0.9,range_interpolation,5313,"S 4015 W","Salt Lake City",UT,"Salt Lake County",84129,US,"TIGER/Line® dataset from the US Census Bureau"
1120,,$35,"CENTURY QUALITY No.2","4089 So. 500 W.",MURRAY,84123,40.682815,-111.904975,1,rooftop,4089,"S 500 W","Salt Lake City",UT,"Salt Lake County",84123,US,"Utah AGRC (and individual UT counties)"
1126,,$32,"SI AUTO REPAIR","3715 S 700 W","SALT LAKE CITY",84119,40.690536,-111.910937,1,rooftop,3715,"S 700 W","Salt Lake City",UT,"Salt Lake County",84119,US,"Utah AGRC (and individual UT counties)"
1128,,$30,"88 AUTO SERVICE","3847 So. REDWOOD RD","WEST VALLEY",84119,40.71328,-111.939104,0.27,place,,,Redwood,UT,"Salt Lake County",84119,US,"TIGER/Line® dataset from the US Census Bureau"
1131,,$32,"HILLSIDE TIRE 4","3282 So. 5600 W.","WEST VALLEY CITY",84120,40.700453,-112.025369,1,rooftop,3282,"S 5600 W","Salt Lake City",UT,"Salt Lake County",84120,US,"Utah AGRC (and individual UT counties)"
1133,,$40,"JIFFY LUBE NO.3211","13184 S. 5600 W.",HERRIMAN,84096,40.51411,-112.03299,0.33,place,,,Herriman,UT,,84096,US,"TIGER/Line® dataset from the US Census Bureau"
1136,,$21,"CARMAX AUTO","11213 SOUTH JORDAN GATEWAY","SOUTH JORDAN",84095,40.546568,-111.89736,1,rooftop,11213,"S Jordan Gtwy","South Jordan",UT,"Salt Lake County",84095,US,"Utah AGRC (and individual UT counties)"
1137,,$41,"JIFFY LUBE NO.2319","3302 S 2000 E","SALT LAKE CITY",84109,40.69961,-111.834465,1,rooftop,3302,"S 2000 E","Salt Lake City",UT,"Salt Lake County",84109,US,"Utah AGRC (and individual UT counties)"
1142,,$30,"EMISSIONS NOW","127 E. GORDON LN. (4190 So.)",MURRAY,84107,40.680439,-111.887102,1,rooftop,127,"E Gordon Ln","Salt Lake City",UT,"Salt Lake County",84107,US,"Utah AGRC (and individual UT counties)"
1143,,$33,"ADVANCED AUTO REPAIR","3434 S MAIN ST","SALT LAKE CITY",84115,40.69692,-111.891444,1,rooftop,3434,"S Main St","Salt Lake City",UT,"Salt Lake County",84115,US,"Utah AGRC (and individual UT counties)"
1144,,$41,"BURT BROTHERS","944E 2100S.","SALT LAKE CITY",84106,40.725241,-111.863618,1,rooftop,944,"E 2100 S","Salt Lake City",UT,"Salt Lake County",84106,US,"Utah AGRC (and individual UT counties)"
1146,,$28,"MARKOSIAN AUTO","4238 SO REDWOOD RD",TAYLORSVILLE,84123,40.65963,-111.919269,0.22,place,,,"Salt Lake City",UT,"Salt Lake County",84123,US,"TIGER/Line® dataset from the US Census Bureau"
1150,,$38,"CASTANEDA 9TH WEST AUTO REPAIR","1939 S 900 W","SALT LAKE CITY",84104,40.727969,-111.916599,1,rooftop,1939,"S 900 W","Salt Lake City",UT,"Salt Lake County",84104,US,"Utah AGRC (and individual UT counties)"
1154,,$32,"KEITH'S AUTOMOTIVE","2220 S 300 E","SALT LAKE CITY",84115,40.722566,-111.882923,1,rooftop,2220,"S 300 E","Salt Lake City",UT,"Salt Lake County",84115,US,"Utah AGRC (and individual UT counties)"
1157,,$35,"QUICK I M AND AUTO REPAIR","3137 S MAIN A","SALT LAKE CITY",84115,40.702482,-111.890869,1,rooftop,3137,"S Main St","Salt Lake City",UT,"Salt Lake County",84115,US,"Utah AGRC (and individual UT counties)"
1161,,$35,"JT AUTOMOTIVE","2205 S 900 E","SALT LAKE CITY",84106,40.722855,-111.865343,1,range_interpolation,2205,"S 900 E","Salt Lake City",UT,"Salt Lake County",84106,US,"TIGER/Line® dataset from the US Census Bureau"
1163,,$28,FIRESTONE,"4031 S HIGHLAND DR",HOLLADAY,84124,40.684225,-111.843752,1,rooftop,4031,"S Highland Dr","Salt Lake City",UT,"Salt Lake County",84124,US,"Utah AGRC (and individual UT counties)"
1165,,$21,"V AND L AUTO SERVICES","1310 S 900 W","SALT LAKE CITY",84104,40.741385,-111.917264,1,rooftop,1310,"S 900 W","Salt Lake City",UT,"Salt Lake County",84104,US,"Utah AGRC (and individual UT counties)"
1166,,$39,"APEXX EMISSIONS AND LUBE","3460 S 500 W","SALT LAKE CITY",84115,40.695664,-111.905795,1,rooftop,3460,"S 500 W","Salt Lake City",UT,"Salt Lake County",84115,US,"Utah AGRC (and individual UT counties)"
1167,,$34,"A AND M PERFORMANCE CAR CARE","182 E 4050 S","SALT LAKE CITY",84107,40.683454,-111.886,1,range_interpolation,182,"E 4050 S","Salt Lake City",UT,"Salt Lake County",84107,US,"TIGER/Line® dataset from the US Census Bureau"
1173,,$43,"J AND S AUTO SERVICE INC","146 PUEBLO ST","SALT LAKE CITY",84104,40.765924,-111.932421,1,range_interpolation,146,"Pueblo St","Salt Lake City",UT,"Salt Lake County",84104,US,"TIGER/Line® dataset from the US Census Bureau"
1174,,$25,"ROGER'S BRAKE INC","4221 S STATE ST",MURRAY,84107,40.679725,-111.88784,1,rooftop,4221,"S State St","Salt Lake City",UT,"Salt Lake County",84107,US,"Utah AGRC (and individual UT counties)"
1180,,$24,"BBC EMISSION","4068 S MAIN ST #B",MURRAY,84107,40.683392,-111.891673,1,rooftop,4068,"S Main St","Salt Lake City",UT,"Salt Lake County",84107,US,"Utah AGRC (and individual UT counties)"
1181,,$43,"BURGA'S AUTO SERVICES","42 E MILLER AVE","SALT LAKE CITY",84115,40.701436,-111.890086,1,rooftop,42,"E Miller Ave","Salt Lake City",UT,"Salt Lake County",84115,US,"Utah AGRC (and individual UT counties)"
1183,,$40,"JIFFY LUBE NO.2328","1804 E 4800 S","SALT LAKE CITY",84117,40.665759,-111.840695,1,range_interpolation,1804,"E 4800 S","Salt Lake City",UT,"Salt Lake County",84117,US,"TIGER/Line® dataset from the US Census Bureau"
1185,,$30,"JOSHUA EMISSION","258 W LUCY AVE","SALT LAKE CITY",84101,40.742852,-111.898537,1,rooftop,258,"W Lucy Ave","Salt Lake City",UT,"Salt Lake County",84101,US,"Utah AGRC (and individual UT counties)"
1186,,$27,"THE TIRE ZONE","2990 S STATE ST","SALT LAKE CITY",84115,40.705918,-111.888633,1,rooftop,2990,"S State St","Salt Lake City",UT,"Salt Lake County",84115,US,"Utah AGRC (and individual UT counties)"
1187,,$40,"JIFFY LUBE NO.3252","7867 S AIRPORT RD","WEST JORDAN",84088,40.608385,-111.996232,1,rooftop,7867,"S Airport Rd","West Jordan",UT,"Salt Lake County",84088,US,"Utah AGRC (and individual UT counties)"
1189,,$43,"ALHERZ EMISSION AND REPAIR","4339 W 3500 S","WEST VALLEY CITY",84120,40.696225,-111.994684,1,rooftop,4339,"W 3500 S","Salt Lake City",UT,"Salt Lake County",84120,US,"Utah AGRC (and individual UT counties)"
1190,,$35,"NATIONAL AUTO PLAZA","10790 S STATE ST",SANDY,84070,40.55539,-111.891663,1,rooftop,10790,"S State St",Sandy,UT,"Salt Lake County",84070,US,"Utah AGRC (and individual UT counties)"
1192,,$43,"JIFFY LUBE NO.2026","2102 S MAIN ST","SALT LAKE CITY",84115,40.72519,-111.891447,1,rooftop,2102,"S Main St","Salt Lake City",UT,"Salt Lake County",84115,US,"Utah AGRC (and individual UT counties)"
1197,,$23,"RC AUTOMOTIVE","4022 SOUTH STATE",MURRAY,84107,40.684329,-111.888626,1,rooftop,4022,"S State St","Salt Lake City",UT,"Salt Lake County",84107,US,"Utah AGRC (and individual UT counties)"
1198,,$33,"MASTER MUFFLER KEARNS","4030 W 5415 S",KEARNS,84118,40.652991,-111.98826,1,rooftop,4030,"W 5415 S","Salt Lake City",UT,"Salt Lake County",84118,US,"Utah AGRC (and individual UT counties)"
1199,,$38,"FLINN AUTOMOTIVE","156 WEST HAVEN AVE","SALT LAKE CITY",84115,40.721239,-111.895695,1,rooftop,156,"W Haven Ave","Salt Lake City",UT,"Salt Lake County",84115,US,"Utah AGRC (and individual UT counties)"
1202,,$33,"EMISSIONS PLUS NO. 6","510 EAST 3900 SOUTH","SALT LAKE CITY",84107,40.68673,-111.876575,1,rooftop,510,"E 3900 S","Salt Lake City",UT,"Salt Lake County",84107,US,"Utah AGRC (and individual UT counties)"
1205,,$32,"ACCURACY AUTO SALES","4036 SO MAIN ST","SALT LAKE CITY",84107,40.656796,-111.890414,0.33,place,,,"Salt Lake City",UT,"Salt Lake County",84107,US,"TIGER/Line® dataset from the US Census Bureau"
1206,,$29,"A PLUS AUTO CENTER NO 1","945 S GALE ST","SALT LAKE CITY",84101,40.74853,-111.900968,1,rooftop,945,"S Gale St","Salt Lake City",UT,"Salt Lake County",84101,US,"Utah AGRC (and individual UT counties)"
1208,,$35,"EDWARDS FAMILY AUTO","4384 SOUTH 900 EAST","SALT LAKE CITY",84124,40.676194,-111.865839,1,rooftop,4384,"S 900 E","Salt Lake City",UT,"Salt Lake County",84124,US,"Utah AGRC (and individual UT counties)"
1210,,$40,"J & S AUTO SERVICE 2 INC","1433 SO MAIN ST","SALT LAKE CITY",84115,40.714496,-111.893118,0.33,place,,,"Salt Lake City",UT,"Salt Lake County",84115,US,"TIGER/Line® dataset from the US Census Bureau"
1214,,$41,"JIFFY LUBE NO.3346","13318 S MARKET CENTER DR",RIVERTON,84065,40.509343,-111.981087,1,rooftop,13318,"S Market Center Dr",Riverton,UT,"Salt Lake County",84065,US,"Utah AGRC (and individual UT counties)"
1215,,$40,"JIFFY LUBE NO.2036","7805 SO REDWOOD RD","WEST JORDAN",84088,40.587629,-111.98342,0.33,place,,,"West Jordan",UT,"Salt Lake County",84088,US,"TIGER/Line® dataset from the US Census Bureau"
1216,,$41,"BURT BROTHERS TIRE & SERV","4712 SO HIGHLAND DR","SALT LAKE CITY",84117,40.655097,-111.833966,0.33,place,,,"Salt Lake City",UT,"Salt Lake County",84117,US,"TIGER/Line® dataset from the US Census Bureau"
1220,,$35,"UTAH FLEET SERVICES","371 W 1500 S","SALT LAKE CITY",84115,40.736959,-111.901649,1,rooftop,371,"W 1500 S","Salt Lake City",UT,"Salt Lake County",84115,US,"Utah AGRC (and individual UT counties)"
1221,,$35,"YUCOS AUTO REPAIR","3435 S W TEMPLE REAR","SALT LAKE CITY",84115,40.698553,-111.892754,0.6,nearest_rooftop_match,3354,"S Sue St","Salt Lake City",UT,"Salt Lake County",84115,US,"Utah AGRC (and individual UT counties)"
1227,,$30,"J AND T MAGIC AUTO REPAIR","3454 SO WEST TEMPLE","SALT LAKE CITY",84115,40.714496,-111.893118,0.33,place,,,"Salt Lake City",UT,"Salt Lake County",84115,US,"TIGER/Line® dataset from the US Census Bureau"
1230,,$35,"MATSON AUTO AND MARINE","1842 W 12600 S",RIVERTON,84065,40.523097,-111.941513,1,rooftop,1842,"W 12600 S",Riverton,UT,"Salt Lake County",84065,US,"Utah AGRC (and individual UT counties)"
1231,,$21,"B3NJI'S AUTO REPAIR","2747 S REDWOOD RD","WEST VALLEY CITY",84119,40.711407,-111.93841,1,rooftop,2747,"S Redwood Rd","Salt Lake City",UT,"Salt Lake County",84119,US,"Utah AGRC (and individual UT counties)"
1233,,$30,"DMV EXPRESS","277 W 3300 S","SALT LAKE CITY",84115,40.699518,-111.899013,1,rooftop,277,"W 3300 S","Salt Lake City",UT,"Salt Lake County",84115,US,"Utah AGRC (and individual UT counties)"
1237,,$39,"HILLSIDE TIRE 5","1888 WEST 7800 SOUTH","WEST JORDAN",84088,40.609783,-111.941621,1,rooftop,1888,"W 7800 S","West Jordan",UT,"Salt Lake County",84088,US,"Utah AGRC (and individual UT counties)"
1238,,$20,"EXCEL AUTOMOTIVE","290 EAST 3300 SOUTH","SALT LAKE CITY",84115,40.699421,-111.883012,1,rooftop,290,"E 3300 S","Salt Lake City",UT,"Salt Lake County",84115,US,"Utah AGRC (and individual UT counties)"
1240,,$35,"MARK MILLER SUBARU SOUTH","10920 SO STATE ST",SANDY,84070,40.577106,-111.889047,0.33,place,,,Sandy,UT,"Salt Lake County",84070,US,"TIGER/Line® dataset from the US Census Bureau"
1245,,$27,"LUCKY'S AUTO SERVICE CTR","3075 S STATE ST","SALT LAKE CITY",84115,40.704095,-111.886929,1,rooftop,3075,"S State St","Salt Lake City",UT,"Salt Lake County",84115,US,"Utah AGRC (and individual UT counties)"
1247,,$26,"UNIVERSAL EXHAUST AUTO CARE","402 E 3900 SO","SALT LAKE CITY",84107,40.686836,-111.879511,1,rooftop,402,"E 3900 S","Salt Lake City",UT,"Salt Lake County",84107,US,"Utah AGRC (and individual UT counties)"
1248,,$26,"M AND M SERVICE STATION","4804 S REDWOOD RD",TAYLORSVILLE,84123,40.664831,-111.939241,1,rooftop,4804,"S Redwood Rd","Salt Lake City",UT,"Salt Lake County",84123,US,"Utah AGRC (and individual UT counties)"
1249,,$40,"J AND S AUTO SERVICE INC","1376 W 1000 N","SALT LAKE CITY",84116,40.791401,-111.930956,1,rooftop,1376,"W 1000 N","Salt Lake City",UT,"Salt Lake County",84116,US,"Utah AGRC (and individual UT counties)"
1250,,$31,"ALTSTART AUTOMOTIVE","1816 S REDWOOD RD #B","SALT LAKE CITY",84104,40.730448,-111.93947,1,rooftop,1816,"S Redwood Rd","Salt Lake City",UT,"Salt Lake County",84104,US,"Utah AGRC (and individual UT counties)"
1251,,$43,"EMISSIONS PLUS","1608 W 7800 S","WEST JORDAN",84088,40.609806,-111.937171,1,rooftop,1608,"W 7800 S","West Jordan",UT,"Salt Lake County",84088,US,"Utah AGRC (and individual UT counties)"
1254,,$28,"JONES COMPLETE CAR CARE","4752 SO REDWOOD RD",TAYLORSVILLE,84123,40.65963,-111.919269,0.22,place,,,"Salt Lake City",UT,"Salt Lake County",84123,US,"TIGER/Line® dataset from the US Census Bureau"
1255,,$25,"AUTOMOTIVE SOLUTIONS","1321 SOUTH EARL DR","SALT LAKE CITY",84104,40.741543,-111.950473,1,rooftop,1321,"S Earl Dr","Salt Lake City",UT,"Salt Lake County",84104,US,"Utah AGRC (and individual UT counties)"
1258,,$26,"JAKES QUICK LUBE AND SERVICE","4793 S STATE ST",MURRAY,84107,40.667233,-111.88774,1,rooftop,4793,"S State St","Salt Lake City",UT,"Salt Lake County",84107,US,"Utah AGRC (and individual UT counties)"
1260,,$38,MIDAS,"4444 SO STATE ST",MURRAY,84107,40.666892,-111.887991,0.3,place,,,Murray,UT,"Salt Lake County",84107,US,"TIGER/Line® dataset from the US Census Bureau"
1261,,$38,MIDAS,"875 E 2100 SO","SALT LAKE CITY",84106,40.725588,-111.865948,1,rooftop,875,"E 2100 S","Salt Lake City",UT,"Salt Lake County",84106,US,"Utah AGRC (and individual UT counties)"
1264,,$31,"BACHMANN AUTO REPAIR","36 W FAYETTE AVE #6","SALT LAKE CITY",84101,40.748341,-111.892292,1,rooftop,36,"W Fayette Ave","Salt Lake City",UT,"Salt Lake County",84101,US,"Utah AGRC (and individual UT counties)"
1265,,$38,"BIG O TIRE","1022 E DRAPER PARKWAY",DRAPER,84020,40.527308,-111.861657,1,rooftop,1022,"E Draper Pkwy",Draper,UT,"Salt Lake County",84020,US,"Utah AGRC (and individual UT counties)"
1266,,$43,"HIDDEN VALLEY CAR WASH","821 E 12300 S",DRAPER,84020,40.527333,-111.867736,1,rooftop,821,"E 12300 S",Draper,UT,"Salt Lake County",84020,US,"Utah AGRC (and individual UT counties)"
